GEOID,median_household_income,median_home_value,per_capita_income
06001,91505.0,664900.0,43112.0
06003,64688.0,349000.0,29041.0
06005,60125.0,294800.0,31489.0
06007,47639.0,243300.0,25401.0
06009,52809.5,308450.0,36883.5
06011,53239.0,229500.0,27740.0
06013,97375.0,506800.0,41917.0
06015,37770.0,179000.0,19431.0
06017,76925.0,419400.0,36941.5
06019,47117.0,203700.0,19710.0
06021,45871.0,229950.0,22243.0
06023,46766.0,286200.0,26197.5
06025,41767.0,166650.0,17182.0
06027,54078.5,230350.0,29978.0
06029,47632.0,171100.0,19863.0
06031,48636.0,170200.0,18846.0
06033,44095.0,172800.0,25368.0
06035,53000.0,198100.0,27974.0
06037,62910.0,487400.0,26095.0
06039,59267.0,239400.0,23353.0
06041,108234.0,959600.0,65515.0
06043,54343.5,291250.0,29519.5
06045,48823.0,369300.0,25891.0
06047,51968.0,214600.0,20407.0
06049,46022.0,149400.0,23807.5
06051,63584.0,345900.0,33439.0
06053,70123.0,436850.0,26621.0
06055,84065.0,629300.0,42864.5
06057,68276.5,418850.0,36103.5
06059,86903.5,611750.0,38646.0
06061,78799.0,438900.0,40314.5
06063,54583.0,225600.0,32244.0
06065,62043.0,303100.0,25198.5
06067,62319.0,312750.0,29640.0
06069,83707.0,482600.0,31258.0
06071,56407.0,280700.0,21753.0
06073,75142.0,479200.0,33407.0
06075,106313.0,1040400.0,60417.0
06077,54242.0,263300.0,23102.0
06079,69895.5,547400.0,36238.0
06081,119344.0,960300.0,56873.5
06083,74191.0,614400.0,34818.0
06085,118101.0,853200.0,51177.5
06087,82919.5,743100.0,42671.0
06089,51647.5,240900.0,27840.0
06091,48125.0,173200.0,31972.0
06093,42138.0,164700.0,24525.0
06095,77094.0,349000.0,31644.0
06097,77301.0,538900.0,40064.0
06099,54555.5,258550.0,23925.0
06101,60443.0,259100.0,27424.0
06103,45000.0,192400.0,23434.0
06105,40139.0,287700.0,26993.0
06107,42775.0,170000.0,18762.0
06109,56604.0,294300.0,33083.0
06111,81201.0,498600.0,34616.0
06113,65129.0,391550.0,33777.0
06115,45342.0,172500.0,20617.0
